{'m_unitTagIndex': 213, 'm_unitTagRecycle': 16, '_event': 'NNet.Replay.Tracker.SUnitDoneEvent', '_eventid': 7, '_gameloop': 20351, '_bits': 120, 'time': 15.142113095238097}
{'m_unitTagIndex': 520, 'm_unitTagRecycle': 14, '_event': 'NNet.Replay.Tracker.SUnitDoneEvent', '_eventid': 7, '_gameloop': 20398, '_bits': 120, 'time': 15.177083333333336}
{'m_unitTagIndex': 462, 'm_unitTagRecycle': 9, '_event': 'NNet.Replay.Tracker.SUnitDoneEvent', '_eventid': 7, '_gameloop': 20451, '_bits': 120, 'time': 15.216517857142858}
{'m_unitTagIndex': 519, 'm_unitTagRecycle': 4, '_event': 'NNet.Replay.Tracker.SUnitDoneEvent', '_eventid': 7, '_gameloop': 20524, '_bits': 120, 'time': 15.270833333333336}
{'m_unitTagIndex': 432, 'm_unitTagRecycle': 17, '_event': 'NNet.Replay.Tracker.SUnitDoneEvent', '_eventid': 7, '_gameloop': 20692, '_bits': 120, 'time': 15.395833333333336}
{'m_unitTagIndex': 527, 'm_unitTagRecycle': 6, '_event': 'NNet.Replay.Tracker.SUnitDoneEvent', '_eventid': 7, '_gameloop': 20701, '_bits': 120, 'time': 15.402529761904763}
{'m_unitTagIndex': 524, 'm_unitTagRecycle': 6, '_event': 'NNet.Replay.Tracker.SUnitDoneEvent', '_eventid': 7, '_gameloop': 20715, '_bits': 120, 'time': 15.412946428571429}
{'m_unitTagIndex': 588, 'm_unitTagRecycle': 4, '_event': 'NNet.Replay.Tracker.SUnitDoneEvent', '_eventid': 7, '_gameloop': 20729, '_bits': 120, 'time': 15.423363095238097}
{'m_unitTagIndex': 504, 'm_unitTagRecycle': 9, '_event': 'NNet.Replay.Tracker.SUnitDoneEvent', '_eventid': 7, '_gameloop': 20734, '_bits': 120, 'time': 15.427083333333336}
{'m_unitTagIndex': 75, 'm_unitTagRecycle': 6, '_event': 'NNet.Replay.Tracker.SUnitDoneEvent', '_eventid': 7, '_gameloop': 20748, '_bits': 120, 'time': 15.437500000000002}
{'m_unitTagIndex': 430, 'm_unitTagRecycle': 43, '_event': 'NNet.Replay.Tracker.SUnitDoneEvent', '_eventid': 7, '_gameloop': 20955, '_bits': 120, 'time': 15.591517857142858}
